#Dt, msdx1, msdy1, msdr1, msdx2, msdy2, msdr2 
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
200, 0.505272, 0.003034, 0.508306, 0.467309, 0.005463, 0.472772
400, 1.893623, 0.012646, 1.906269, 1.876704, 0.013785, 1.890489
600, 4.148971, 0.019312, 4.168282, 4.164157, 0.026410, 4.190567
800, 7.477559, 0.024604, 7.502163, 7.321520, 0.036539, 7.358059
1000, 11.673641, 0.031531, 11.705172, 11.570283, 0.046889, 11.617172
1200, 16.997730, 0.046700, 17.044430, 16.654796, 0.059041, 16.713837
1400, 23.100327, 0.056234, 23.156561, 22.356048, 0.088448, 22.444497
1600, 30.319146, 0.053831, 30.372977, 29.400134, 0.085962, 29.486096
1800, 38.065344, 0.057822, 38.123165, 37.149883, 0.099401, 37.249284
2000, 46.958527, 0.069070, 47.027597, 45.964370, 0.093658, 46.058028
2200, 57.131115, 0.079078, 57.210193, 55.229878, 0.072616, 55.302494
2400, 67.897383, 0.081811, 67.979194, 66.152150, 0.061940, 66.214089
2600, 79.370081, 0.090396, 79.460477, 78.180658, 0.070694, 78.251352
2800, 91.478800, 0.117081, 91.595881, 89.701242, 0.082723, 89.783965
3000, 105.040008, 0.134933, 105.174942, 103.515771, 0.080691, 103.596462
3200, 119.261049, 0.127223, 119.388271, 117.896070, 0.085352, 117.981422
3400, 134.116168, 0.118264, 134.234432, 133.335221, 0.089454, 133.424674
3600, 150.777934, 0.115801, 150.893735, 149.367803, 0.099298, 149.467101
3800, 167.755367, 0.118836, 167.874203, 166.408691, 0.115448, 166.524139
4000, 185.644129, 0.132133, 185.776262, 185.138132, 0.130033, 185.268165
4200, 204.014192, 0.156669, 204.170861, 204.122694, 0.137712, 204.260406
4400, 224.436326, 0.174310, 224.610636, 223.978418, 0.157124, 224.135542
4600, 245.912217, 0.156776, 246.068992, 244.959784, 0.160672, 245.120456
4800, 267.203370, 0.166968, 267.370338, 267.388654, 0.166099, 267.554753
5000, 289.972304, 0.165855, 290.138159, 290.091783, 0.148184, 290.239967
5200, 313.311767, 0.164133, 313.475900, 312.755280, 0.121527, 312.876807
5400, 339.154966, 0.166704, 339.321670, 338.456506, 0.116499, 338.573005
5600, 362.984813, 0.140782, 363.125595, 362.768755, 0.141506, 362.910261
5800, 389.443689, 0.134820, 389.578510, 388.699870, 0.150897, 388.850767
6000, 417.489945, 0.134299, 417.624244, 416.066470, 0.173391, 416.239862
6200, 443.824122, 0.125872, 443.949994, 445.518589, 0.186079, 445.704667
6400, 473.606644, 0.130857, 473.737501, 474.838274, 0.194809, 475.033083
6600, 503.522406, 0.158849, 503.681255, 505.242406, 0.196061, 505.438466
6800, 534.224257, 0.191186, 534.415443, 536.104167, 0.190645, 536.294813
7000, 565.630458, 0.215452, 565.845910, 569.016400, 0.200509, 569.216910
7200, 598.039576, 0.236301, 598.275877, 602.533031, 0.232898, 602.765929
7400, 630.456618, 0.270361, 630.726979, 636.581691, 0.234296, 636.815987
7600, 665.939352, 0.273906, 666.213258, 672.049514, 0.218690, 672.268203
7800, 702.384664, 0.291379, 702.676044, 707.187629, 0.200487, 707.388116
8000, 739.527192, 0.284629, 739.811821, 743.441984, 0.204728, 743.646712
8200, 775.616585, 0.261009, 775.877593, 782.651677, 0.189643, 782.841320
8400, 815.477202, 0.220808, 815.698010, 821.103651, 0.174852, 821.278503
8600, 853.058261, 0.212562, 853.270823, 859.834540, 0.162722, 859.997262
8800, 893.439682, 0.239271, 893.678952, 898.160949, 0.158186, 898.319134
9000, 934.277305, 0.243505, 934.520810, 941.866427, 0.166934, 942.033362
9200, 978.569553, 0.252094, 978.821646, 981.900618, 0.162203, 982.062820
9400, 1021.238309, 0.280533, 1021.518841, 1025.250007, 0.152847, 1025.402854
9600, 1065.475317, 0.283306, 1065.758623, 1069.278822, 0.142361, 1069.421183
9800, 1111.198671, 0.289408, 1111.488080, 1113.713209, 0.139271, 1113.852480
10000, 1156.681173, 0.299439, 1156.980612, 1161.856142, 0.148779, 1162.004921
10200, 1201.051888, 0.307593, 1201.359481, 1207.979539, 0.168198, 1208.147737
10400, 1251.222821, 0.312995, 1251.535816, 1256.606777, 0.163393, 1256.770170
10600, 1299.916326, 0.321384, 1300.237710, 1306.576573, 0.163667, 1306.740240
10800, 1349.065309, 0.309638, 1349.374948, 1353.203282, 0.164865, 1353.368147
11000, 1400.922022, 0.279887, 1401.201909, 1405.716178, 0.169878, 1405.886057
11200, 1451.267248, 0.242165, 1451.509413, 1457.597520, 0.151473, 1457.748993
11400, 1504.049403, 0.244344, 1504.293747, 1508.388435, 0.110267, 1508.498703
11600, 1558.108739, 0.225886, 1558.334625, 1558.845057, 0.110574, 1558.955630
11800, 1611.475088, 0.216313, 1611.691400, 1614.735682, 0.128564, 1614.864246
12000, 1665.970793, 0.218982, 1666.189775, 1667.949531, 0.129661, 1668.079193
12200, 1722.234273, 0.213895, 1722.448168, 1723.801788, 0.119437, 1723.921225
12400, 1780.697038, 0.211886, 1780.908924, 1778.724745, 0.116763, 1778.841508
12600, 1839.003126, 0.195637, 1839.198763, 1836.524169, 0.104536, 1836.628705
12800, 1898.321222, 0.193202, 1898.514423, 1898.410003, 0.098834, 1898.508837
13000, 1956.818285, 0.215908, 1957.034192, 1955.034421, 0.100995, 1955.135416
13200, 2017.090229, 0.232747, 2017.322976, 2019.692221, 0.101002, 2019.793223
13400, 2079.428881, 0.236173, 2079.665054, 2080.173643, 0.087383, 2080.261026
13600, 2142.384826, 0.239259, 2142.624085, 2142.589157, 0.077584, 2142.666741
13800, 2204.070890, 0.245703, 2204.316593, 2206.070168, 0.073156, 2206.143325
14000, 2270.209685, 0.242409, 2270.452094, 2272.211844, 0.071058, 2272.282902
14200, 2339.982442, 0.199151, 2340.181594, 2335.083800, 0.063105, 2335.146906
14400, 2400.951382, 0.175122, 2401.126504, 2400.412048, 0.039263, 2400.451311
14600, 2468.929245, 0.170230, 2469.099475, 2466.724194, 0.039646, 2466.763841
14800, 2536.690548, 0.150032, 2536.840580, 2536.128545, 0.060255, 2536.188800
15000, 2607.526761, 0.130952, 2607.657713, 2602.777541, 0.068399, 2602.845940
15200, 2675.039655, 0.130097, 2675.169752, 2674.219630, 0.067044, 2674.286674
15400, 2748.007076, 0.103709, 2748.110785, 2743.759130, 0.067542, 2743.826672
15600, 2819.471652, 0.078955, 2819.550607, 2818.596828, 0.065616, 2818.662444
15800, 2893.469464, 0.066276, 2893.535740, 2889.055095, 0.076016, 2889.131111
16000, 2964.062904, 0.064167, 2964.127071, 2964.124742, 0.081292, 2964.206034
16200, 3040.326049, 0.066257, 3040.392306, 3036.752179, 0.076404, 3036.828583
16400, 3113.410780, 0.061972, 3113.472752, 3112.905816, 0.056189, 3112.962005
16600, 3192.537135, 0.040533, 3192.577668, 3188.462406, 0.053765, 3188.516171
16800, 3267.477493, 0.028474, 3267.505967, 3270.710279, 0.047457, 3270.757736
17000, 3346.288977, 0.027422, 3346.316399, 3344.931704, 0.032580, 3344.964284
17200, 3431.186438, 0.017607, 3431.204045, 3425.135355, 0.019003, 3425.154358
17400, 3505.509429, 0.007172, 3505.516601, 3505.516469, 0.006865, 3505.523333
17600, 3584.571166, 0.002630, 3584.573795, 3583.581707, 0.000911, 3583.582618
17800, 3670.448210, 0.004884, 3670.453094, 3663.690157, 0.003348, 3663.693504
18000, 3749.711067, 0.014327, 3749.725393, 3745.805965, 0.011599, 3745.817564
18200, 3834.065991, 0.019292, 3834.085283, 3829.553535, 0.026400, 3829.579934
18400, 3918.340924, 0.025003, 3918.365927, 3913.333437, 0.033585, 3913.367022
18600, 4006.161654, 0.031141, 4006.192795, 4002.318827, 0.041862, 4002.360689
18800, 4094.440729, 0.039622, 4094.480351, 4086.101448, 0.054271, 4086.155719
19000, 4184.525532, 0.048997, 4184.574528, 4171.706507, 0.069645, 4171.776152
19200, 4273.347094, 0.052494, 4273.399588, 4256.535058, 0.079608, 4256.614665
19400, 4362.976016, 0.054939, 4363.030955, 4349.978559, 0.091539, 4350.070099
19600, 4451.675513, 0.068261, 4451.743774, 4437.476712, 0.098151, 4437.574863
19800, 4545.982270, 0.070518, 4546.052788, 4527.794688, 0.080564, 4527.875251
20000, 4638.237176, 0.080783, 4638.317959, 4620.352534, 0.070470, 4620.423004
20200, 4733.924098, 0.090210, 4734.014308, 4715.976489, 0.067595, 4716.044083
